"Path","Visits","Visitors"
"verano/life/advanced/英语词汇学 笔记.md","19","0"
"verano/life/dear diary/假期箴言.md","113","35"
"verano/tech/linux/install trojan.md","100","32"
"verano/life/dear diary/好的习惯.md","66","33"
"verano/tech/linux/install ss on vps.md","132","32"
"verano/life/guide/颈椎保养法.md","40","14"
"verano/life/dear diary/固定支出.md","1","0"
"verano/life/guide/胎记问题.md","84","30"
"verano/life/play/好听的歌.md","19","0"
"verano/tech/server/重置windows sever密码.md","3","0"
"verano/tech/python/一、python基础（一）.md","14","8"
"verano/life/play/《time scapes》.md","34","1"
"verano/life/dear diary/越是沮丧，越要自我救赎.md","53","30"
"verano/life/guide/iceland, europe.md","113","32"
"verano/life/guide/双板滑雪事项.md","68","29"
"verano/life/dear diary/nice to mee u.md","6","0"
"verano/life/advance/学习计划.md","51","31"
"verano/life/advance/语言考试科目.md","57","28"
"verano/life/dear diary/那些逝去的青春.md","74","32"
"verano/life/readings/阅读书单《2022年》.md","105","24"
"verano/life/play/电影剧集【更新中】.md","60","27"
"verano/life/play/上海 迪士尼.md","76","18"
"verano/tech/mac/ariang native配置.md","99","28"
"verano/life/advance/【英语词汇学】笔记.md","77","34"
"verano/life/advance/五语种时态.md","40","14"
"verano/life/play/the absurdity.md","69","30"
"verano/life/guide/国家图书馆指南.md","45","19"
"verano/life/advanced/交通警告标志.md","2","0"
"verano/life/play/春夏秋冬.md","159","28"
"verano/tech/mac/格式编码详述.md","67","28"
"verano/life/guide/auckland vacation.md","74","27"
"verano/life/advance/学习工作计划【近期】.md","15","1"
"verano/life/guide/kyoto, japan.md","82","27"
"verano/life/readings/世界正在走向崩溃？.md","54","34"
"verano/tech/mac/多媒体标签应用.md","34","16"
"verano/life/advance/水果相关习语.md","55","28"
"verano/life/dear diary/孤独及其所创造的.md","226","35"
"verano/life/dear diary/妈妈写给女儿的信.md","63","33"
"verano/tech/mac/disqus.md","17","1"
"verano/life/play/上海迪士尼.md","1","0"
"verano/tech/server/openfiler配置.md","21","1"
"verano/life/readings/阅读中的自己.md","72","26"
"verano/life/advance/婴儿用品词汇.md","52","27"
"verano/life/dear diary/五一假期.md","161","22"
"verano/life/advance/葡萄酒种类详解.md","58","29"
"verano/tech/win/空格区分.md","93","30"
"verano/life/advance/英音习得方法.md","48","28"
"verano/life/advanced/马基概论.md","5","0"
"verano/life/readings/保密测试题.md","2","0"
"verano/life/advance/音乐相关习语.md","59","29"
"verano/life/dear diary/爱之于我.md","149","17"
"verano/life/guide/中西文化差异漫画.md","63","28"
"verano/life/dear diary/不谈亏欠，不负遇见.md","122","31"
"verano/life/advanced/时间相关习语.md","3","0"
"verano/life/dear diary/家装风格.md","54","32"
"verano/tech/win/licenses.md","94","37"
"verano/life/dear diary/它的诞生.md","183","31"
"verano/tech/mac/cloudflare.md","33","0"
"verano/life/dear diary/绝世唐门.md","190","30"
"verano/life/advanced/方向指引词汇.md","8","0"
"verano/life/guide/美丽新西兰.md","76","29"
"verano/life/dear diary/睡前故事.md","213","23"
"verano/life/advanced/婴儿用品词汇.md","2","0"
"verano/life/advance/词汇 每日一览.md","55","8"
"verano/life/guide/游玩去处.md","53","32"
"verano/life/play/《小品集锦》.md","17","0"
"verano/life/readings/随手笔记【更新中】.md","404","63"
"verano/life/readings/2022 阅读书单.md","1","0"
"verano/life/advanced/地理特征习语.md","4","0"
"verano/life/guide/the nickname.md","32","13"
"verano/life/play/杭州游记.md","200","32"
"verano/life/advance/英文数字的表达.md","46","29"
"verano/life/dear diary/跟温柔的人在一起，很舒服.md","118","31"
"verano/life/guide/航空携品规定.md","103","30"
"verano/life/advance/交通警告标志.md","47","28"
"verano/tech/win/tags usage.md","1","0"
"verano/life/guide/营养学基础.md","155","44"
"verano/tech/linux/php crontab.md","65","30"
"verano/life/play/《hello world》.md","23","1"
"verano/life/advance/lexicology answers.md","1","0"
"verano/tech/linux/openvpn.md","4","0"
"verano/life/advanced/英音习得方法.md","4","0"
"verano/life/guide/宽带备忘.md","5","0"
"verano/life/advance/衣物穿搭词汇.md","57","26"
"verano/life/dear diary/致 小仙女(๑˘ ₃˘๑).md","90","14"
"verano/life/guide/wellington vacation.md","74","27"
"template/license.txt","1","0"
"verano/life/advance/地理特征习语.md","62","32"
"verano/life/play/音频外链.md","36","14"
"verano/life/play/hello world.md","20","3"
"verano/life/advanced/水果相关习语.md","8","0"
"verano/life/advanced/prep+which用法.md","6","0"
"verano/life/play/风居住的街道.md","75","30"
"verano/life/dear diary/相信，本身也是一种拥有.md","66","27"
"verano/life/guide/居家运动.md","1","0"
